Index,Project,Text,Class,isSATD,Predict_sft-35
751,Gradle,"//  In case more descendants are added to downward hierarchy, make sure they'll notify us",NON-SATD,0,NON-SATD
752,Gradle,//  Used by HasPrefixAndSuffixPatternStep to ensure the suffix isn't matching any part of the prefix.,NON-SATD,0,NON-SATD
753,Gradle,"//  When the component defines a precompiled header, we need to check if the precompiled header is the _first_ header in the source file.   For source files that do not include the precompiled header as the first file, we emit a warning   For source files that do include the precompiled header, we mark them as a ""source file for pch""   The native compiler then adds the appropriate compiler arguments for those source files that can use PCH",NON-SATD,0,NON-SATD
754,Gradle,//  Don't need to unpack the serialized failure. It will already have been reported and is not used by anything downstream of this action.,NON-SATD,0,NON-SATD
755,Gradle,//  Zero or more * characters followed by literal followed by at least one *,NON-SATD,0,NON-SATD
756,Gradle,"//  not holding the cache lock, flush is done so notify flush thread and continue",NON-SATD,0,NON-SATD
757,Gradle,"//  would normally log at a level higher than (or equal to) lifecycle, but the Ant message priority is   actually lower than the set lifecycle log level",NON-SATD,0,NON-SATD
758,Gradle,//  Enable the use of Gradle metadata. This is a temporary opt-in switch until available by default,NON-SATD,0,NON-SATD
759,Gradle,"//  These constants are defined here and not with the rest of their kind in HelpTasksPlugin because they are referenced   in the __ore_ modules, which don't depend on __lugins_ where HelpTasksPlugin is defined.",NON-SATD,0,NON-SATD
760,Gradle,//  Convert a second time with only the published configurations: this ensures that the correct artifacts are included,NON-SATD,0,NON-SATD
761,Gradle,"//  Sha256 is not part of core-services (i.e. no Hashing.sha256() available), hence we use plain Guava classes here.",NON-SATD,0,NON-SATD
762,Gradle,//  Important not to add until after it has been applied as there can be   plugins.withType() callbacks waiting to build on what the plugin did,NON-SATD,0,NON-SATD
763,Gradle,//  Have not visited this node yet. Push its successors onto the queue in front of this node and visit   them,NON-SATD,0,NON-SATD
764,Gradle,"//  If credential decides it can handle it, the return code or message indicated   something specific to authentication, and no backoff is desired.",NON-SATD,0,NON-SATD
765,Gradle,//  Default behavior is to always be buildable.  Binary implementations should define what   criteria make them buildable or not.,NON-SATD,0,NON-SATD
766,Gradle,"//  Create a client that will not match any existing daemons, so it will always startup a new one",NON-SATD,0,NON-SATD
767,Gradle,//  this allows us to generate the deployment descriptor after recording all modules it contains,NON-SATD,0,NON-SATD
768,Gradle,//  This may be thrown by the caller of this method at a later time,NON-SATD,0,NON-SATD
769,Gradle,//  copy in case any actions mutate the store   linked list because the underlying store may preserve order   We make best effort not to create an intermediate collection if this container   is empty.,NON-SATD,0,NON-SATD
770,Gradle,//  Should really fail here if sourcesToCompile is not empty: no transform for this source set in this binary,NON-SATD,0,NON-SATD
771,Gradle,//  File resources are handled slightly differently at present.   file:// repos are treated differently   1) we don't cache their files,NON-SATD,0,NON-SATD
772,Gradle,//  Need to lock the cache in order to write to the module metadata store,NON-SATD,0,NON-SATD
773,Gradle,"//  Need to do this here, so that the transfer is 'restarted' when HttpClient reopens the resource (DIGEST AUTH only)",NON-SATD,0,NON-SATD
774,Gradle,//  Note that the sourceSet is the sourceSet this pre-compiled header will be used with - it's not an   input sourceSet to the compile task.,NON-SATD,0,NON-SATD
775,Gradle,"//  If we detect a transformation in the classpath, we need to recompile, because we could typically be facing the case where   2 entries are reversed in the order of classpath elements, and one class that was shadowing the other is now visible",NON-SATD,0,NON-SATD
776,Gradle,"//  superName can be null if what we are analyzing is `java.lang.Object`   which can happen when a custom Java SDK is on classpath (typically, android.jar)",NON-SATD,0,NON-SATD
777,Gradle,"//  Strategy changes in a parent configuration do not affect this configuration, or any of its children, in any way",NON-SATD,0,NON-SATD
778,Gradle,"//  the ""status"" attribute is mandatory, so if it's missing, we need to add it",NON-SATD,0,NON-SATD
779,Gradle,"//  We do not store the history if there was a failure and the outputs did not change, since then the next execution can be incremental.   For example the current execution fails because of a compile failure and for the next execution the source file is fixed, so only the one changed source file needs to be compiled.",NON-SATD,0,NON-SATD
780,Gradle,/*                  * An extracted distribution usually looks like:                 * checksumDir/                 *      | gradle-5.5.1-bin.zip.ok                 *      | gradle-5.5.1-bin.zip.lck                 *      | gradle-5.5.1-bin.zip                 *      | gradle-5.5.1                  */,NON-SATD,0,NON-SATD
781,Gradle,"//  Set the context classloader to the bootstrap classloader, to work around how JAXP locates implementation classes   This should ensure that the JAXP classes provided by the JVM are used, rather than some other implementation",NON-SATD,0,NON-SATD
782,Gradle,"//  We need to add missing files as source roots, since the package name for deleted files provided by IncrementalTaskInputs also need to be determined.",NON-SATD,0,NON-SATD
784,Gradle,//  Only false if no declared outputs AND no Task.upToDateWhen spec. We force to true for incremental tasks.,NON-SATD,0,NON-SATD
785,Gradle,"//  can be null in tests, ResolveState cannot be mocked   can be null in tests, ComponentState cannot be mocked",NON-SATD,0,NON-SATD
787,Gradle,"//  since we have B and want to get A we start with the most   outer class, put them together and then see if that does   already exist. In case of B from within A$B we are done   after the first step already. In case of for example   A.B.C.D.E.F and accessing E from F we test A$E=failed,   A$B$E=failed, A$B$C$E=fail, A$B$C$D$E=success",NON-SATD,0,NON-SATD
789,Gradle,"//  We know all are compatibles, so this is only possible if some disambiguation happens but not getting us to 1 candidate",NON-SATD,0,NON-SATD
790,Gradle,"//  Back to being a pending dependency   Clear remaining incoming edges, as they must be all from constraints",NON-SATD,0,NON-SATD
791,Gradle,"//  Take a root worker lease, it won't ever be released as ProjectBuilder has no lifecycle",NON-SATD,0,NON-SATD
792,Gradle,"//  At this point, we need the component metadata, because it may declare attributes that are needed for matching   Component metadata may not necessarily hit the network if there is a custom component metadata supplier",NON-SATD,0,NON-SATD
793,Gradle,/*      * Does a defensive copy to avoid leaking class references through the MutablePropertyDetails     * contained in the maps values. The keyset would keep a strong reference back to the map     * and all its entries.      */,NON-SATD,0,NON-SATD
794,Gradle,"//  Don't add if our last record has a `:taskName` status, and this one is `:taskName SOMETHING`",NON-SATD,0,NON-SATD
795,Gradle,"//  SkipWhenEmpty implies incremental.   If this file property is empty, then we clean up the previously generated outputs.   That means that there is a very close relation between the file property and the output.",NON-SATD,0,NON-SATD
796,Gradle,"//  if the collection is a read-only property, it must be initialized first (it will never be null)   if the collection is *not* read-only, then we will initialize it only if the collection is the   subject of a rule, that is to say that it can be mutated. This may look strange, if a read-write   collection is null to initialize it to an empty list, but this is how the specs define reaw-write   collections of scalar types.",NON-SATD,0,NON-SATD
797,Gradle,// The matching is very simple at the moment but it should solve majority of cases.  It operates using String#contains and it tests either requested or selected module.,NON-SATD,0,NON-SATD
798,Gradle,"//  When the outputs are generated, throw away all state for files that do not live in an append-only cache.   This is intentionally very simple, to be improved later",NON-SATD,0,NON-SATD
799,Gradle,"// the unlock was just requested but not yet confirmed, give it some more time",NON-SATD,0,NON-SATD
800,Gradle,//  guard against edge cases (e.g. JUnit 4 classes with custom runners that report the class as ignored after reporting it as started),NON-SATD,0,NON-SATD
801,Gradle,//  This is a hidden property that may be useful to track down issues. Remove when NTLM Auth is solid.,NON-SATD,0,NON-SATD
802,Gradle,"// below could be better.  Throwing InvalidUserDataException here means that useful context information (including candidate formats, etc.) is not presented to the user",NON-SATD,0,NON-SATD
803,Gradle,"//  If no authState has been established and this is a PUT or POST request, add preemptive authorisation",NON-SATD,0,NON-SATD
804,Gradle,"//  Else, something has changed in the include file graph for this source file, so analyse again",NON-SATD,0,NON-SATD
805,Gradle,//  This ensures that subprojects are realized and register their project and project configuration IDE artifacts,NON-SATD,0,NON-SATD
806,Gradle,//  Take a copy because adding to an idMappings value may result in new mappings being added (i.e. ConcurrentModificationException),NON-SATD,0,NON-SATD
807,Gradle,//  We need to sort here since the file order obtained from the filesystem   can change between machines and we always want to have the same shaded jars.,NON-SATD,0,NON-SATD
808,Gradle,"//  Use a defensive copy of the build definition, as it may be mutated during build execution",NON-SATD,0,NON-SATD
809,Gradle,"//  If we don't know what the max heap is, approximate it based on OS total memory",NON-SATD,0,NON-SATD
810,Gradle,//  Foreground daemon cannot be 'told' what's his startup options as the client sits in the same process so we will infer the jvm opts from the inputArguments(),NON-SATD,0,NON-SATD
811,Gradle,//  Taking the first selector here to determine the 'changing' status and 'client module' is our best bet to get the selector that will most likely be chosen in the end.   As selectors are sorted accordingly (see ModuleSelectors.SELECTOR_COMPARATOR).,NON-SATD,0,NON-SATD
812,Gradle,//  A member of the class breaks binary compatibility.   That will be handled when the member is passed to `maybeViolation`.,NON-SATD,0,NON-SATD
813,Gradle,"//  Initial state. Only path and some projections are known here   All projections are defined   Private data has been created, initial rules discovered   Default values have been applied",NON-SATD,0,NON-SATD
814,Gradle,//  project.getDependencies().create(String) seems to be the only feasible way to create a Dependency with a classifier,NON-SATD,0,NON-SATD
815,Gradle,"//  When implementing PropertyMixIn, do not check for opaque properties, as this can be expensive",NON-SATD,0,NON-SATD
816,Gradle,//  Loaded from a classes dir - assume we're running from the ide or tests,NON-SATD,0,NON-SATD
817,Gradle,//  The eclipse workspace contains projects from root and included builds. Check projects from all builds   so that models built for included builds do not consider projects from parent builds as external.,NON-SATD,0,NON-SATD
818,Gradle,"//  we do not resolve a vanilla name starting with a lower case letter   try to resolve against a default import, because we know that the",NON-SATD,0,NON-SATD
819,Gradle,//  MODULE_WORKING_DIR doesn't seem to work correctly and MODULE_DIR seems to be in `.idea/modules/<path-to-subproject>`   See https://youtrack.jetbrains.com/issue/IDEA-194910,NON-SATD,0,NON-SATD
820,Gradle,"//  XCTest executable   Sync the binary to the BUILT_PRODUCTS_DIR, otherwise Xcode won't find any tests",NON-SATD,0,NON-SATD
821,Gradle,"//  It's often the case that all the candidate values are the same. In this case, we avoid   the creation of a set, and just iterate until we find a different value. Then, only in   this case, we lazily initialize a set and collect all the candidate values.",NON-SATD,0,NON-SATD
822,Gradle,"//  if the return type doesn't use generics, then it's faster to just rely on the type name directly",NON-SATD,0,NON-SATD
823,Gradle,"//  we would normally log at a lower level than lifecycle, but the Ant message priority is actually higher   than (or equal to) the set lifecycle log level",NON-SATD,0,NON-SATD
824,Gradle,"//  Could potentially also look whether we have the details for an ancestor directory tree   Could possibly infer that the path refers to a directory, if we have details for a descendant path (and it's not a missing file)",NON-SATD,0,NON-SATD
825,Gradle,"//  No hard dependency, queue up pending dependency in case we see a hard dependency later.",NON-SATD,0,NON-SATD
826,Gradle,//  Add the Gradle API filter between the user classloader and the worker infrastructure classloader,NON-SATD,0,NON-SATD
827,Gradle,"// below does not help on windows environments. I was unable to get plain javadoc utility to work successfully with multiline options _in_ the options file.  at least, it will work out of the box on linux or mac environments.  on windows, the options file will have correct contents according to the javadoc spec but it may not work (the failure will be exactly the same as if we didn't replace line breaks)",NON-SATD,0,NON-SATD
